name,desc,latitude,longitude,color,url
Alpenbirkenzeisig,Mittwoch 7. Dezember 2022,48.25433337286328,10.932924898071432,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73506647,504
Alpenbirkenzeisige,Montag 5. Dezember 2022,50.876111111111115,6.834444444444444,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73493702,504
Alpenbirkenzeisige,Montag 5. Dezember 2022,51.07536,9.926105,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73486601,504
Alpenbirkenzeisige,Sonntag 4. Dezember 2022,54.874377,8.467001,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73464151,504
Alpenbirkenzeisige,Sonntag 4. Dezember 2022,52.586461,10.676567,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73461630,504
Alpenbirkenzeisige,Samstag 3. Dezember 2022,51.458015,7.182656,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73454536,504
Alpenbirkenzeisige,Freitag 2. Dezember 2022,54.331743,10.134687,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73438222,504
Alpenbirkenzeisige,Freitag 2. Dezember 2022,52.583175,10.675358,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73435857,504
Alpenbirkenzeisige,Freitag 2. Dezember 2022,51.33444444444444,8.261944444444444,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73434589,504
Alpenbirkenzeisige,Donnerstag 1. Dezember 2022,52.673356,7.13806,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73424740,504
Alpenbirkenzeisige,Montag 28. November 2022,52.38523333333333,9.840277777777779,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73380831,504
Alpenbirkenzeisig,Montag 28. November 2022,51.359933,9.05807,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73382422,504
Alpenbirkenzeisige,Montag 28. November 2022,49.56313070902928,7.072383055006878,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73378889,504
Alpenbirkenzeisige,Sonntag 27. November 2022,54.527499999999996,11.106666666666666,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73364158,504
Alpenbirkenzeisige,Sonntag 27. November 2022,52.552499999999995,9.940277777777778,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73374747,504
Alpenbirkenzeisige,Sonntag 27. November 2022,51.116695,8.162359,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73355717,504
Alpenbirkenzeisige,Samstag 26. November 2022,54.310859,13.076134,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73328085,504
